,name,author,numberOfPages,price
0,Сон в красном тереме в 2 т. (комплект),Цао Сюэ-цинь,1760,1 698 ₽
1,Портрет Дориана Грея,Оскар Уайльд,320,180 ₽
2,,,336,595 ₽
3,Троецарствие: роман,Ло Гуань-чжун,1376,1 176 ₽
4,Мастер и Маргарита,Михаил Булгаков,512,534 ₽
5,Таинственный сад,Фрэнсис Ходжсон Бёрнетт,320,180 ₽
6,Деньги. Мечта. Покорение Плассана,Эмиль Золя,864,977 ₽
7,Три товарища,Эрих Ремарк,480,285 ₽
8,1984 (новый перевод),Джордж Оруэлл,320,224 ₽
9,Гордость и предубеждение,Джейн Остен,384,198 ₽
10,Мы,Евгений Замятин,224,165 ₽
11,Превращения Арсена Люпена,Морис Леблан,640,848 ₽
12,Повелитель мух,Уильям Голдинг,320,248 ₽
13,Клуб самоубийц,Роберт Льюис Стивенсон,256,173 ₽
14,Атлант расправил плечи (комплект из 3 книг),Айн Рэнд,1394,1 226 ₽
15,Девчата,Б. Бедный,512,234 ₽
16,Русь Великая: роман-хроника,Валентин Иванов,672,790 ₽
17,Убить пересмешника…,Харпер Ли,416,327 ₽
18,"Жизнь взаймы, или У неба любимчиков нет",Эрих Ремарк,384,256 ₽
19,На Западном фронте без перемен,Эрих Ремарк,288,240 ₽
20,Жизнь на продажу,Юкио Мисима,288,214 ₽
21,Грозовой перевал,Эмили Джейн Бронте,416,180 ₽
22,Маленький принц,Антуан де Сент-Экзюпери,224,180 ₽
23,Лолита,Владимир Набоков,544,556 ₽
24,Мастер и Маргарита: роман,Михаил Булгаков,512,189 ₽
25,Дом Кёко: роман,Юкио Мисима,512,774 ₽
26,Мартин Иден,Джек Лондон,448,206 ₽
27,"Человек, который мог творить чудеса: повести, рассказы",Герберт Уэллс,960,977 ₽
28,Триумфальная арка,Эрих Ремарк,640,293 ₽
29,Портрет Дориана Грея. Вечные истории,Оскар Уайльд,320,472 ₽
30,Великий Гэтсби. Вечные истории,Френсис Скотт Фицджеральд,256,567 ₽
31,Блистательные годы. Гран-Канария,Арчибальд Кронин,576,790 ₽
32,Преступление и наказание,Федор Достоевский,672,216 ₽
33,Заводной апельсин,Энтони Бёрджесс,256,231 ₽
34,Гроза. Бесприданница. Бедность не порок,Александр Островский,864,699 ₽
35,Вот так мы теперь живем,Энтони Троллоп,832,889 ₽
36,1984. Скотный двор,Джордж Оруэлл,416,210 ₽
37,Карьера Ругонов. Его превосходительство Эжен Ругон. Добыча,Эмиль Золя,880,930 ₽
38,Отцы и дети,Иван Тургенев,288,180 ₽
39,"Человек, который смеется: роман",Виктор Мари Гюго,704,848 ₽
40,Анна Каренина. Вечные истории. Young Adult,Лев Толстой,992,808 ₽
41,Белые ночи,Федор Достоевский,320,173 ₽
42,Скорбь Сатаны,Мария Корелли,512,216 ₽
43,Ночь в Лиссабоне,Эрих Ремарк,320,248 ₽
44,Джейн Эйр,Шарлотта Бронте,672,216 ₽
45,,,320,474 ₽
46,,,736,848 ₽
47,Гроза. Бесприданница,Александр Островский,224,165 ₽
48,Обломов,Иван Гончаров,640,206 ₽
49,Великий Гэтсби,Френсис Скотт Фицджеральд,256,189 ₽
50,Маленькие женщины,Луиза Мэй Олкотт,384,180 ₽
51,Дракула,Брэм Стокер,512,512 ₽
52,,,,
53,Карты. Нечисть. Безумие. Рассказы русских писателей,Михаил Лермонтов,576,726 ₽
54,Герой нашего времени: роман,Михаил Лермонтов,224,158 ₽
55,Вишневый сад,Антон Чехов,352,173 ₽
56,Полное собрание рассказов,Владимир Набоков,768,1 100 ₽
57,О дивный новый мир,Олдос Леонард Хаксли,352,256 ₽
58,Морфий,Михаил Булгаков,256,165 ₽
59,Мастер и Маргарита,Михаил Булгаков,512,592 ₽
60,Короли и капуста. Дороги судьбы,О. Генри,704,848 ₽
61,Демиан,Герман Гессе,224,240 ₽
62,Ночь перед Рождеством,Николай Гоголь,288,388 ₽
63,Цветы для Элджернона,Дэниел Киз,320,276 ₽
64,Мадонна в черном,Рюноскэ Акутагава,480,231 ₽
65,Джейн Эйр,Шарлотта Бронте,640,642 ₽
66,,,,
67,"Странник по звездам, или Смирительная рубашка: романы, повесть",Джек Лондон,672,790 ₽
68,Мертвые души: поэма,Николай Гоголь,352,173 ₽
69,Война и мир. Том 1-2,Лев Толстой,992,551 ₽
70,Укридж. Любовь на фоне кур,Пелам Гренвилл Вудхаус,448,556 ₽
71,Крутой маршрут. Хроника времен культа личности,Евгения Гинзбург,704,779 ₽
72,,,352,408 ₽
73,Театр,Уильям Сомерсет Моэм,320,248 ₽
74,Идиот,Федор Достоевский,640,206 ₽
75,Падение дома Ашеров,Эдгар По,448,408 ₽
76,Озорные рассказы,Оноре де Бальзак,688,813 ₽
77,Война и мир. Том 3-4,Лев Толстой,1024,551 ₽
78,Кармилла,Джозеф Ле Фаню,320,346 ₽
79,Торжество тьмы. Страшные истории,Амброз Бирс,480,660 ₽
80,Странник по звездам,Джек Лондон,384,189 ₽
81,Сто лет одиночества: роман,Габриэль Гарсиа Маркес,544,443 ₽
82,Письма к брату Тео (лимитированный дизайн),Винсент Ван Гог,384,474 ₽
83,Галерея женщин. Цепи счастья,Теодор Драйзер,880,930 ₽
84,Посторонний,Альбер Камю,128,198 ₽
85,Аня из Зеленых Мезонинов,Люси Монтгомери,352,492 ₽
86,Бремя страстей человеческих,Уильям Сомерсет Моэм,800,327 ₽
87,Отель,Артур Хейли,608,311 ₽
88,Кармилла,Джозеф Ле Фаню,304,600 ₽
89,120 дней Содома,Донасьен Альфонс Франсуа Сад де,480,198 ₽
90,Капитанская дочка,Александр Пушкин,352,173 ₽
91,Воскресение,Лев Толстой,640,624 ₽
92,Голодная гора,Дафна дю Морье,576,599 ₽
93,Незнакомка из Уайлдфелл-Холла,Энн Бронте,640,216 ₽
94,Тюремная исповедь,Оскар Уайльд,256,173 ₽
95,Исповедь маски,Юкио Мисима,256,214 ₽
96,Атлант расправил плечи (три тома в одной книге),Айн Рэнд,1131,877 ₽
97,Скорбь Сатаны,Мария Корелли,512,450 ₽
98,Грозовой перевал. Вечные истории. Young Adult,Эмили Джейн Бронте,416,472 ₽
99,Вино из одуванчиков,Рэй Брэдбери,320,276 ₽
100,Игрок,Федор Достоевский,224,173 ₽
101,Улисс: Роман,Джеймс Джойс,928,1 076 ₽
102,Аэропорт: роман,Артур Хейли,608,311 ₽
103,Великий Гэтсби,Френсис Скотт Фицджеральд,256,472 ₽
104,Фауст,Иоганн Вольфганг фон Гёте,544,206 ₽
105,,,496,600 ₽
106,Собачье сердце,Михаил Булгаков,352,189 ₽
107,Приют Грез,Эрих Ремарк,224,224 ₽
108,Замок Броуди,Арчибальд Кронин,608,779 ₽
109,Мифы Древней Индии,Эдуард Темкин,352,432 ₽
110,Мельница на Флоссе,Джордж Элиот,672,790 ₽
111,Война и мир. Том I-II. Том III-IV (комплект из 2 книг),Лев Толстой,,534 ₽
112,"Сказка сказок, или Забава для малых ребят",Джамбаттиста Базиле,640,790 ₽
