,phrase,name,price
0,python,"Знакомьтесь, Python. Секреты профессии",632
1,python,Грокаем алгоритмы. Иллюстрированное пособие для программистов и любопытствующих,1016
2,python,Python глазами хакера,369
3,python,"Python на примерах. Практика, практика и только практика",541
4,python,Python для детей и родителей. Играй и программируй,1152
5,python,Python - это просто. Пошаговое руководство по программированию и анализу данных,861
6,python,Python. Полное руководство,906
7,python,Python для детей. Самоучитель по программированию,1334
8,python,"Python, Django и Bootstrap для начинающих",894
9,python,Python для детей. Курс для начинающих,594
10,python,Python для data science,1666
11,python,Python 3 и PyQt 6. Разработка приложений,1509
12,python,Python для сложных задач: наука о данных и машинное обучение,1959
13,python,Python. 12 уроков для начинающих,615
14,python,Python для финансистов. Базовые концепции,2030
15,python,Python для Excel. Современная среда для автоматизации и анализа данных,950
16,python,Python. Великое программирование в Minecraft,939
17,python,"Python для сетевых инженеров. Автоматизация сети, программирование и DevOps",3766
18,python,Python. Экспресс-курс. 3-е издание,2030
19,python,PYTHON и анализ данных,3009
20,python,Python. Сборник упражнений. Введение в язык Python с задачами и решениями,1169
21,python,Python без проблем: решаем реальные задачи и пишем полезный код,1596
22,python,Python. Погружение в математику с Minecraft,939
23,python,Python: быстрый старт ,1063
24,python,Python за 7 дней. Краткий курс для начинающих,1106
25,python,Python и DevOps: Ключ к автоматизации Linux,2527
26,python,Python. Создаем программы и игры,629
27,python,Python. Лучшие практики и инструменты,4099
28,python,Python для всех ,1169
29,python,"Python 3. Самое необходимое. 2-е издание, переработанное и дополненное",959
30,python,Python. Чистый код для продолжающих,2233
31,python,"Python для детей, которые пока не программируют",839
32,python,Python. Исчерпывающее руководство,2211
33,python,Python. Книга Рецептов,3581
34,python,Python для юных программистов,762
35,python,Python. Разработка на основе тестирования,3176
36,python,Python и машинное обучение,2674
37,python,"Python, например",800
38,python,Python для детей,1671
39,python,Python на практике,1431
40,python,Python. Непрерывная интеграция и доставка,1252
41,python,Python для гиков,1006
42,python,"Справочник PYTHON. Кратко, быстро, под рукой",490
43,python,Начинаем программировать на Python. 5-е издание,2012
44,python,Изучаем программирование на Python,1662
45,python,"Учим Python, делая крутые игры",954
46,python,Программирование на Python для начинающих,660
47,python,Высокопроизводительные Python-приложения. Эффективное программирование на практике,1572
48,python,"40 алгоритмов, которые должен знать каждый программист на Python",1925
49,python,Легкий способ выучить Python 3,912
50,python,Практическая статистика для специалистов Data Science. 50+ важнейших понятий с использованием R и Python,922
51,python,Основы искусственного интеллекта в примерах на Python. Самоучитель,898
52,python,Алгоритмический тренинг. Решения практических задач на Python и C++,861
53,python,Большая книга проектов Python,1666
54,python,Простой Python. Современный стиль программирования,2016
55,python,Программируем на Python,1396
56,python,"Black Hat Python: программирование для хакеров и пентестеров, 2-е изд",1666
57,python,"""Непрактичный"" Python: занимательные проекты для тех, кто хочет поумнеть",984
58,python,Django 3.0. Практика создания веб-сайтов на Python,1342
59,python,Глубокое обучение на Python,1735
60,python,Программирование. Python. C++. Часть 3. Учебное пособие,624
61,python,Алгоритмы. С примерами на Python,1946
62,python,Чистый Python. Тонкости программирования для профи,1527
63,python,Надежный Python,894
64,python,Программирование. Python. C++. Часть 4. Учебное пособие,624
65,python,Знакомство с Python,2114
66,python,"Математические алгоритмы для программистов. 3D-графика, машинное обучение и моделирование на Python",3430
67,python,Информатика. 8-9 классы. Начала программирования на языке Python. Дополнительные главы к учебникам,320
68,python,Внутри CPYTHON: гид по интерпретатору Python,1946
69,python,Основы Python для Data Science,2086
70,python,Машинное обучение с использованием Python. Сборник рецептов,827
71,python,Интерпретируемое машинное обучение на Python,1677
72,python,Грокаем глубокое обучение,1189
73,python,Анализ социальных медиа на Python,2499
74,python,Использование языка Python в теории вероятностей. Учебник,2099
75,python,Эволюционные нейросети на языке Python,2005
76,python,Крупномасштабное машинное обучение вместе с Python,1837
77,python,Простой Python для опытных программистов ,920
78,python,Задачи по дискретной математике с алгоритмами на Python,1565
79,python,Простой Python просто с нуля,1349
80,python,Цифровая обработка сигналов на языке Python (м) Дауни,1399
81,python,Программирование. Python. C++. Часть 1. Учебное пособие,624
82,python,"Практикум по математической статистике. Проверка гипотез с использованием Excel, MatCalc, R и Python",399
83,python,Программирование на Python. Первые шаги,766
84,python,Изучаем квантовые вычисления на Python и Q# ,3799
85,python,Программирование компьютерного зрения на Python,1999
86,python,Разработка веб-приложений с использованием Flask на языке Python,1999
87,python,Asyncio и конкурентное программирование на Python,2841
88,python,Робототехника. Управление квадрокоптером: Квадрокоптер Tello. Программирование на языке Python. 8-11 классы.,431
89,python,Квантовая химия и квантовые вычисления с примерами на Python,2507
90,python,Скраппинг веб-сайтов с помощью Python,1550
91,python,Компьютерное зрение на Python. Первые шаги,748
92,python,Структуры данных в Python. Начальный курс,1504
93,python,Профессиональная разработка на Python ,4199
94,python,Начнем.Python. Просто о сложном,755
95,python,"Прогнозное моделирование в IBM SPSS Statistics, R и Python Метод деревьев решений и случайный лес",3599
96,python,Основы программирования на языке Python,1002
97,python,Аналитика в Power BI с помощью R и Python,2507
98,python,Программирование GPU при помощи Python и CUDA,1999
99,python,Биоинформатика с PYTHON. Книга рецептов,2674
100,python,Pyomo. Моделирование оптимизации на Python,2699
101,python,Язык программирования Python: практикум. Учебное пособие,1913
102,python,Генетические алгоритмы на Python. Применение генетических алгоритмов к решению задач глубокого обучения и искуственного интеллекта,2172
103,python,Объяснимые модели искусственного интеллекта на Python,2172
104,python,Изучаем основы Python. Практический курс для дата-аналитиков,3299
105,python,Язык программирования Python. Учебное пособие,1893
106,python,Глубокое обучение с подкреплением. Теория и практика на языке Python,2539
107,python,"HTML, CSS, SCRATCH, PYTHON. Моя первая книга по программированию",604
108,python,Байесовский анализ на Python. Введение в статистическое моделирование и вероятностное программирование с использованием PyMC3 и ArviZ,2699
109,python,Twisted из первых рук. Событийное и асинхронное программирование на Python,2299
110,python,Алгебра и геометрия с примерами на Python. Учебное пособие для вузов,5214
111,python,Предварительная подготовка данных в PYTHON. Том 1. Инструменты и валидация,4012
112,python,Практическое введение в решение дифференциальных уравнений в Python,1671
113,python,Устройство и программирование автономных роботов. Проекты на PYTHON и RASPBERRY PI,2172
114,python,Изучение робототехники с помощью Python,2499
115,python,Анализ поведенческих данных на R и Python ,3299
116,python,Экономика на Python. Учебник,1499
117,python,Разработка геоприложений на языке Python,2499
118,python,Математика на Python. Часть I. Элементы линейной алгебры и аналитической геометрии. Учебно-методическое пособие,599
119,python,Научное программирование на Python ,2674
120,python,Вероятностное программирование на Python: байесовский вывод и алгоритмы,1999
121,python,Изучение сложных систем с помощью Python,1699
122,python,Трехмерное глубокое обучение на PYTHON,2899
123,python,"Django 2.1 Практика создания веб-сайтов на Python. Модели, контроллеры и шаблоны. Разграничение доступа. Аутентификация через социальные сети. Вывод миниатюр. Bootstrap. Captcha. Angular. Bbcode. Rest",800
124,python,Глубокое обучение на Python,2786
125,python,"Обучение с подкреплением на PyTorch: сборник рецептов. Свыше 60 рецептов проектирования, разработки и развертывания самообучающихся моделей на Python",1671
126,python,"Предварительная подготовка данных в PYTHON. Том 2. План, примеры и метрики качества",4012
127,python,Computer Science для программиста-самоучки. Все что нужно знать о структурах данных и алгоритмах,1393
128,python,"Стержень гелевый ""InColor Purple Python"" синий, ErichKrause",50
129,python,Python в системном администрировании UNIX и Linux,2580
130,python,Python. К вершинам мастерства,3199
131,python,Python и анализ данных,1799
132,python,Python для финансовых расчетов. Искусство работы с финансовыми данными,6840
133,python,Python и наука о данных для чайников,2099
134,python,Python и машинное обучение,4099
135,python,Python для чайников,1699
136,python,Изучаем Python. Том 2,3499
137,python,"Программирование на Python, том II, 4-е издание.",4299
138,python,Построение систем машинного обучения на языке Python,1599
139,python,Программирование на языке Python: учебный курс,2799
140,python,Автоматизация рутинных задач с помощью Python: практическое руководство для начинающих,2099
141,python,Изучаем Python. Том 1,3499
142,python,"Алгоритмы. Справочник с примерами на C, C++, Java и Python, 2-е издание",2799
143,python,Сверхбыстрый Python. Эффективные техники для работы с большими наборами данных,3999
144,python,Разработка приложений с графическим пользовательским интерфейсом на языке Python. Учебное пособие для вузов,692
145,python,Django. Разработка веб-приложений на Python. - Пер. с англ.,2064
146,python,Искусственный интеллект с примерами на Python. Создание приложений искусственного интеллекта с помощью Python для взаимодействия с окружающим миром,2799
147,python,Численные методы. Вычислительный практикум. Практическое применение численных методов при использовании алгоритмического языка Python,929
148,python,Современный скрапинг веб-сайтов с помощью Python,2299
149,python,Автоматизация рутинных задач с помощью Python. Практическое руководство для начинающих. 2-е издание,2799
150,python,Программируем с Minecraft. Создай свой мир с помощью Python,1266
151,python,Программирование на языке высокого уровня Python. Учебное пособие для СПО,779
152,python,Прикладное машинное обучение без учителя с использованием Python,2799
153,python,Глубокое обучение и TensorFlow для профессионалов. Математический подход к построению систем искусственного интеллекта на Python,2099
154,python,Безопасность веб-приложений на PYTHON,3299
155,python,"Web-программирование на Python. Учебное пособие для вузов, 2-е изд., стер.",3421
156,python,GPT-3: программирование на PYTHON в примерах,2299
157,python,"Искусственный интеллект и компьютерное зрение. Реальные проекты на Python, Keras и TensorFlow",3738
158,python,"Python, например",1568
159,python,Python. Карманный справочник,1199
160,python,"Python на примерах. Практический курс по программированию, 2-е издание",999
161,python,Python Справочник Полное описание языка (3 изд.) Мартелли,3499
162,python,Python. Лучшие практики и инструменты,2799
163,python,Python на примерах. Практический курс по программированию,549
164,python,Python. Великое программирование в Minecraft ,503
165,python,"Python и машинное обучение. Машинное и глубокое обучение с использованием Python, scikit-learn и TensorFlow",3499
166,python,Python Создаем программы и игры,549
167,python,"Python и анализ данных. Первичная обработка данных с применением pandas, NumPy и Ipython",2999
168,python,"Python. Искусственный интеллект, большие данные и облачные вычисления",3399
169,python,Python 3. Самое необходимое,690
170,python,Python для хакеров. Нетривиальные задачи и проекты,1946
171,python,Python. К вершинам мастерства. Локаничное и эффективное программирование,4179
172,python,Python 3 и PyQt 5. Разработка приложений,1304
173,python,"Python, Django и PyCharm для начинающих ",836
174,python,Python для детей и родителей,983
175,python,Python для программирования криптовалют,3399
